AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
APc4d6.6677.b040,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,4,0,0,0,1177521 seconds ago
TBMNC-BLD801-FL01-AP0067,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1177500 seconds ago
TBMNC-BLD802-FL01-18A-AP0477,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,865036 seconds ago
TBMNC-BLD802-FL01-13E-AP0442,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174534 seconds ago
TBMNC-BLD802-FL01-24B-AP0523,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865052 seconds ago
TBMNC-BLD802-FL01-AP0585,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,190265 seconds ago
TBMNC-BLD801-FL01-AP0174,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1175065 seconds ago
TBMNC-BLD801-FL01-13D-AP0087,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174808 seconds ago
TBMNC-BLD802-FL01-AP0572,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174592 seconds ago
TBMNC-BLD802-FL01-AP0589,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174530 seconds ago
TBMNC-BLD802-FL01-13C-AP0440,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174462 seconds ago
TBMNC-BLD802-FL01-14A-AP0446,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174467 seconds ago
TBMNC-BLD802-FL01-7A-AP0397,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,564805 seconds ago
